MB:0254,三网,下发失败。,交互式的短消息下发失败。一般是由于系统或者用户原因建议客服人员查询法下发，而导致下发失败。请稍后再尝试提交消息。
MB:0196,三网,无效的可选参数。,目前SMC不返回该错误码。但是，请ESME端确保命令字中的可选参数满足SMPP3.4协议规范和《华为消息应用产品对SMPP3.4协议的遵从说明》。
MC:0055:006,移动,由于用户不在服务区或内存满导致发送失败,请核实手机终端是否处于正常状态
MB:0195,三网,必需的可选参数丢失。,
MB:0194,三网,可选参数的长度错。,可选参数的长度错误，不符合标准的SMPP3.4协议。请确保命令字中的可选参数字段的长度都满足SMPP3.4协议规范和《华为消息应用产品对SMPP3.4协议的遵从说明》。
ERR:NUM:006,移动,被叫号码不正确或被限制,请核实手机终端是否处于正常状态
MI00022,移动,手机终端内存满,请核实手机终端是否处于正常状态
MB:0084,三网,replace_if_present_flag字段无效。,请确保submit_sm消息中的replace_if_present_flag字段的值为0或者1。
MC:0055:000,移动,由于用户不在服务区或内存满导致发送失败,请核实手机终端是否处于正常状态
MB:0083,三网,System_type字段无效。,请确保bind命令中的system_type字段好长只能有12位字符，第13位为结束符。
MB:0081,三网,无效的目的地址NPI。,当ESME执行删除操作时，请确保目的地址的NPI值与所操作的短消息匹配。
MI00036,移动,运营商错误,建议客服人员查询
MB:0080,三网,无效的目的地址TON。,当ESME执行删除操作时，请确保目的地址的TON值与所操作的短消息匹配。
DB00144,移动,目的号码在全局黑名单被拦 截,建议客服人员查询
MN00013,移动,机终端停机,请核实手机终端是否处于正常状态
MK00011,移动,"手机终端没有短信业务""",请核实手机终端是否处于正常状态
0.260416667,三网,检查短信签名,
1:00,三网,未知用户,不用处理。
SMGP601,电信,用户非法、空号、停机,建议用户更换号码、开通服务、充值后重新尝试
SMGP602,电信,关机,建议用户开机重试
SMGP603,电信,关机,建议用户开机重试
SMGP609,电信,无效服务标识,建议用户更换终端重新尝试
SMGP614,电信,被叫终端返回无证实的响应,建议用户更换终端重新尝试
SMGP615,电信,被叫终端资源短缺,建议用户更换终端重新尝试
SMGP624,电信,短信限流控制,建议用户稍后重新尝试
SMGP627,电信,目标拒绝,建议用户更换终端重新尝试
SMGP628,电信,被叫终端不支持靠谱业务短消息,建议用户更换终端重新尝试
SMGP634,电信,被叫终端不能解析短消息,建议用户更换终端重新尝试
SMGP640,电信,被叫为空号,建议用户更换手机号码重新尝试
SMGP660,电信,12660是短信处理失败导致的,建议用户更换手机号码重新尝试
SMGP701,电信,HLR返回用户非法,建议用户更换手机号码重新尝试
SMGP702,电信,关机,建议用户开机重试
SMGP703,电信,关机,建议用户开机重试
SMGP704,电信,HLR认为数据错误,建议用户更换手机号码重新尝试
SMGP705,电信,用户欠费停机,建议用户充值重试
SMGP713,电信,终端未回确认信息,建议用户终端回复建议信息
SMGP714,电信,终端原因：手机存储空间满,建议用户整理存储空间重试
SMGP726,电信,目标拒绝,建议用户关闭拦 截软件重试
SMGP728,电信,终端不支持这种靠谱短信,建议用户修改短信内容
SMGP730,电信,被叫终端不能解析短消息,建议用户修改短信内容或更换手机重试
